Authors,Title,Year,Abstract,Keywords
"Gordon L.A., Loeb M.P., Sohail T.",Market value of voluntary disclosures concerning information security,2010,"Information security is a fundamental concern for corporations operating in today's digital economy. The number of firms disclosing items concerning their information security on reports filed with the U.S. Securities and Exchange Com-mission (SEC) has increased in recent years. A question then arises as to whether or not there is value to the voluntary disclosures concerning information security. Thus, the primary objective of this paper is to assess empirically the market value of voluntary disclosures of items pertaining to information security. Based on a sample of 1,641 disclosing and 19,266 non-disclosing firm-years in a cross-sectional pooled model, our primary findings provide strong evidence that voluntarily disclosing items concerning information security is associated positively with the market value of a firm. These findings are based on the use of a market-value relevance model, as well as a bid-ask spread analysis. The study's findings are robust to alternative statistical analyses. The findings also provide support for the signaling argument, which states that managers disclose information in a manner consistent with increased firm value. Finally, the study findings provide some insight into the strategic choice that firms make regarding voluntary disclosures about information security.",Bid-ask spread; Information security; Market value; Selection-bias; Voluntary disclosures
[No author name available],A matter of living in a world of data: Keeping tabs as information grows apace,2010,"Purpose: The purpose of this paper is to review the latest management developments across the globe and pinpoint practical implications from cutting-edge research and case studies. Design/methodology/approach: This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context. Findings: If data are managed well, that has to be good for the economy, good for scientific endeavor and the advancement of mankind, as well as a way of keeping tabs on what government is up to. Practical implications: Provides strategic insights and practical thinking that have influenced some of the world's leading organizations. Social implications: Provides strategic insights and practical thinking that can have a broader social impact Originality/value: The briefing saves busy executives and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy-to digest format. © Emerald Group Publishing Limited.",Corporate strategy; Data analysis; Digital communication systems; Electronic media; Internet; Publishing
"Neogi P.K., Cordell A.J.","The internet and the need for governance: Learning from the past, coping with the future",2010,"Every economy requires a physical, institutional and legal infrastructure, as well as understandable and enforceable marketplace rules, in order to function smoothly. In this paper the authors maintain that the building of such an infrastructure, which provides trust and confidence for all those who operate in or are affected by it, is a necessary condition for the development and efficient functioning of a global, digital economy. They also show that costs will result if the global economy has to function on the basis of distrust, both at the individual and transaction level. Although the Internet has transformed the economy, society and politics, it was never designed and built for global, ubiquitous and secure commercial use. While the technology is new, the need for trust, confidence and security remains. The Internet is an open network where there is no outside body that can administer sanctions. In this respect, it appears to be unique in commercial history. One characteristic of the public Internet is that, since it consists of many thousands of autonomous networks spanning a large number of jurisdictions, it has no well defined oversight mechanism that can administer sanctions. Drawing upon the lessons of history and historical analogies, the authors indicate some possible solutions. For the Internet to achieve its maximum social and political potential there will have to be agreed upon and effective rules of the road, both nationally and globally. © Neogi and Cordell, 2010.",Governance; Internet; Oversight; Trust
"Dragoi G., Draghici A., Rosu S.M., Cotet C.E.",Virtual product development in university-enterprise partnership,2010,"Development teams involved in product development are often geographically and temporally distributed, and there is a high level of outsourcing in product development efforts. Enterprises give rise to a special type of virtual enterprise, in which each company maintains the greatest flexibility and business independence. This paper presents a vision of next generation engineering working environments and describes a core information technology on which future systems can be built. Cooperative processes are not the automatic results of implementing collaborative, real-time communication technologies, but the result of a carefully designed and systematically maintained virtual team development plan. This paper discusses the critical issues of the virtual product development and builds a general architecture of an experimental platform for training, research and consulting in the new digital economy, located in the PREMINV center from University ""POLITEHNICA"" of Bucharest. Copyright © 2010, IGI Global.",Collaborative systems; Knowledge applications; Outsourcing; Small to medium sized enterprises; Virtual enterprise; Virtual enterprise network; Virtual teams
Shixin I.Z.,"Chinese newspaper ownership, corporate strategies, and business models in a globalizing world",2010,"This study takes Beijing Youth Daily (BYD), Beijing's largest newspaper in terms of advertising revenue and second largest in terms of circulation, as a case study to examine and analyze how globalization influences the ownership, corporate strategies, and business models of local newspaper organizations in China; and, thus, accelerates Chinese-style capitalism and media convergence. Declining advertising revenue and the loss of readers due to the digital revolution and the availability of multimedia news channels are global challenges that face newspapers around the world. BYD is no exception. In response, BYD has shifted from an exclusively state ownership model to a split or dual-track management model that has allowed foreign capital into the business operations while the party/state still retains ideological control over the news content. BYD has reoriented its corporate strategies and carried out structural reforms, building a media conglomerate via new titles, acquisitions, concentrations, and convergences; and developed its business models with advertising as a major revenue source. All these measures are market-oriented and intended to maximize newspaper profits by pursuing economies of scale and scope. © Institute for Media and Communications Management.",
"Duso T., Seldeslachts J.",The political economy of mobile telecommunications liberalization: Evidence from the OECD countries,2010,"The change from analogue to digital technologies in the mobile telecom industries at the beginning of the 1990s increased the economic rationale for rendering these markets more competitive. Yet, the speed of reforms have been remarkably different across countries. We empirically investigate this cross-sectional and temporal variation in entry liberalization of OECD countries during the 1990s. A unique data set obtained by merging different sources on political, government and regulatory institutions - as well as private interests and ideologies - allows us to explore in detail several dimensions of the political economy of liberalization. Our findings indicate majoritarian electoral systems as important drivers for change, while independent industry regulators slow down such reforms. Furthermore, powerful industry incumbents hold up the liberalization process and governing bodies that favor a small welfare state accelerate it. The focus on separate elements of countries' institutions aims to shed light on the underlying structure of decision-making processes, providing a base for more structural political economy studies on regulatory change. © 2009.",Entry liberalization; Ideology; Institutions; Mobile telecom; OECD; Political economy; Private interests
Frankel S.,Digital copyright and culture,2010,"For many years, New Zealand has struggled with how to develop its economy into a knowledge-based economy. Other small market economies have faced similar issues. Intellectual property is an important aspect of such an economy, as are the copyright and other laws that protect intellectual property. In recent years, cultural producers have debated with copyright users on the proper scope of legal protection for intellectual property. Both sides of this debate have utilized concepts of promoting and creating culture as justifications for their stance. Copyright lawmakers have the task of finding a balance between the competing views. This article focuses on the way in which New Zealand copyright law developed and that law's relationship with culture during the years in which Helen Clark was Prime Minister. In particular, this article discusses the copyright law reform undertaken to address the impact of digital technologies. Copyright © Susy Frankel.",culture; digital copyright; TRIPS Agreement
"Emrouznejad A., Cabanda E., Gholami R.",An alternative measure of the ICT-Opportunity Index,2010,"We developed an alternative approach for measuring information and communication technology (ICT), applying Data Envelopment Analysis (DEA) using data from the International Telecommunications Union as a sample of 183 economies. We compared the ICT-Opportunity Index (ICT-OI) with our DEA-Opportunity Index (DEA-OI) and found a high correlation between the two. Our findings suggest that both indices are consistent in their measurement of digital opportunity, though differences still exist in different regions. Our new DEA-OI offers much more than the ICT-OI. Using our model, the target and peer groups for each country can be identified. Copyright © 2010 Published by Elsevier B.V. All rights reserved.",Data Envelopment Analysis; DEA-Opportunity Index; Digital divide; ICT-Opportunity Index; Information society; Linear programming
"Rajagopalan B., Hillison D., Calantone R., Sambamurthy V.",Diffusion of information and communication technologies: A takeoff analysis,2010,"In an increasingly global economy, Information and Communication Technologies (ICTs) are critical for nations to participate in trade and reap the benefits of access to world markets. Economists call for investments in technologies that enable innovations and spur economic development in the country. In addition to being the source of innovation, economic growth also depends on the ability of nations to absorb and apply new innovations that germinated elsewhere. Despite accumulating evidence that several factors play an important role in the assimilation of new technologies, the drivers of the adoption of digital technologies are not well understood and the findings remain inconsistent. Based on theories of economic growth and innovation diffusion theory, and using the well-known takeoff phenomenon as the underpinning, we hypothesise and empirically examine the relationships between human capital (literacy, life expectancy), cost, international trade (foreign direct investment), communications infrastructure (television and telephone) and the takeoff of digital technologies. Our findings confirm that important differences exist among the high-, medium- and low-income countries with respect to the takeoff times for ICT. In addition, our study reveals the differential impact of the factors on takeoff for the three income groups. Policy implications include the need for tailoring the adoption programmes based on country income group, technology type and adoption stage (before or after takeoff). Copyright © 2010 Inderscience Enterprises Ltd.",Diffusion of innovation; Economic development; Human capital; ICTs; Information and communication technologies; Survival analysis; Takeoff
"Ernster B., Dix D.",Graphic appeals: Custom digital graphics create value-added opportunities for customers and new economies for manufacturers,2010,"Custom digital graphics create value-added opportunities for customers and new economies for manufacturers. Fabric companies are witnessing that digital capabilities are the new possibilities for hesitant customers with tighter budgets. TCT&A Industries, Illinois offers customized and personalized digital graphics to its customers. TCT&A is getting an increasing number of requests for corporate logos and other graphics on large curtain walls that are used to divide space in manufacturing or production facilities and warehouses. New products on the market are opening up digital possibilities for awning companies with lower volumes. The market has evolved from printing on banner fabric to printing directly onto the tent fabric. AdGraphics is producing a lot of graphics for tent companies and corporate customers. The company has printed brick and other 'faux' patterns on tent walls for corporate events and even printed faux brick on plastic covers to hide cellular service antennas on a building's rooftop.",
Licher V.,The book industry in Germany: Looking back at 2009,2010,"A brief summary report and highlights are presented for key topics and issues that have taken place in Germany's Trade book industry during 2009. The Nobel Prize for Literature and other awards are described along with a review of the Best Seller List. The article concludes with a review of data for the book fairs and the economy in general. © 2010 Springer Science+Business Media, LLC.",Börsenverein; Book fairs; Booksellers; Carlsen Verlag; Digital rights management; DRM; eBook readers; Economy; Frankfurt book fair; Google; Gräfe und Unzer; Hanser Verlag; Internet; Langendorfs Dienst; Metzler Verlag; Nobel prize; Pixi books; txtr
"Chen E., Weber I.","To discount or not to discount: An assessment of perceptions, beliefs, and intentions to use electronic auctions with discounts",2010,"In the digital economy, electronic auction systems are becoming more prevalent in facilitating the transactions between buyers and sellers. Auction websites, such as eBay and Amazon, as well as more sophisticated platforms, such as Moai and FrictionlessCommerce have increased transaction volume by offering tailored auction protocols to specific customer groups. meet2trade is a generic electronic market platform that supports various auction mechanisms. This study examines the impact of a discount in a second-price, sealed-bid mechanism on bidding behavior and market outcomes. Emphasis is thereby placed on bidders' system-based perceptions, beliefs about usage and institutional-based trust, and intention to use such an auction. Ninety students were recruited to participate in an experiment held at a Western European university. The experiment observed user behavior in second-price auctions with and without a discount. The results demonstrate that although discounts do affect bidding behavior and economic outcomes, they do not influence bidder's intentions to use such auction mechanisms. Instead, we found that intention to use is influenced by institutional and usage beliefs that are shaped by system-based perceptions, which in turn provide specific advice to market engineers on the technical aspects influencing system adoption. © 2008 Springer Science+Business Media B.V.",Auction assessment model; Auction with discount; Electronic auction systems; Laboratory experiment; Meet2trade
"Bhimani A., Bromwich M.","Management Accounting in a Digital and Global Economy: The Interface of Strategy, Technology, and Cost Information",2010,"This chapter discusses aspects of the digital economy and globalization and their influence on management accounting. It argues that strategy, technology, and costs are increasingly co-mingled in globalized and digitized organizational contexts. Conceiving ways of doing things has traditionally been regarded as a necessarily distinct process from the actual execution of activities. This notion is embedded across the majority of established enterprise management approaches. But managerial intentions and actions are becoming intertwined in many enterprises. Decision-based thinking does not necessarily always precede managerial action. The chapter discusses how digitization and globalization are altering decision making processes and organizational action. It does so by considering virtual organizationbased issues and some wider possible implications for strategic management accounting. A case study of a firm tackling digitization and globalization issues is discussed to draw out these conclusions. © Oxford University Press, 2009. All rights reserved.",Cost management; Digitization; Globalization; Virtual organization
"Hanna N.K., Qiang C.Z.-W.",China's Emerging Informatization Strategy,2010,"The authors adopt a holistic framework of China's e-development (informatization), covering the enablers of the knowledge economy and the application of information and communication technology (ICT) to government, business, and society. They identify the challenges facing government, business, and rural informatization, the growing digital divide between rural and urban areas and the innovations pursued to bridge this divide. This holistic framework is then used to identify key gaps and weaknesses in each enabler as well as synergies and cross-cutting coordination issues that need to be managed to support ICT application priorities and achieve national development goals. © 2010 Springer.",China; E-development; E-government; E-leadership; ICT industry; Informatization; Telecommunications
Clarke P.,Europe betting on payout from Intel Labs' gambit,2010,"Intel Labs Europe's innovation agenda Digital Europe has been aligned with the aims of the European Union for an innovation-based economy and a better concerned society. The lab's mission is to advance Intel Architecture research, development and innovation and to partner with European stakeholders to improve European competitiveness. Intel's research network in Europe is precompetitive and collaborative, but it tends to be broader, deeper and longer-term than that of Intel's rivals. Intel accelerated up the collaborative strand of its R&D in Europe, focusing on remote services in such areas as health, education and government. Intel's research in Europe ranges in scope from nanotechnology up to wireless communications, networking and more abstract topics such as cloud computing, financial computing and health care delivery. In 2008, Intel already had about 800 engineers engaged in research in about 15 laboratories across Europe.",
Van Den Broek D.,From terranova to terra firma: A critique of the role of free labour and the digital economy,2010,"On-going class action against America Online's use of 'free labour' has divided opinion about the management of 'digital' labour in the 'new' economy. Web-based systems of collaboration between and within firms and their customers, as well as customer engagement in product innovation, have underscored claims about the evaporation of traditional labour markets and labour processes as well as about (weakening) divisions between production and consumption. This has led to (exaggerated) debates about the contribution of free' or 'immaterial' labour to contemporary economies. This paper argues that while significant restructuring has changed traditional organisational forms, capital markets remain centralised and digital labour remains as regulated as other labour. As such, while labour cannot be fully commodified, digital labour is neither free or immaterial, because it is not the content of labour itself, but rather its relationship with capital that gives it 'weight' and value.",
Braun P.,A skilling framework for women entrepreneurs in the knowledge economy,2010,"Purpose – To prepare for the increasingly important role women entrepreneurs are expected to play in the knowledge economy, it is imperative to understand, facilitate and manage women’s training needs for full participation in the knowledge economy. The chapter introduces a skilling framework which integrates pedagogical, organisational and technological values to promote the uptake of knowledge economy skills. Design/methodology/approach – An exploratory study approach was adopted underpinned by a social constructionist epistemology. The study fused a literature review on knowledge economy skills and women’s learning needs with a desktop audit of opportunities available to women entrepreneurs to augment their knowledge economy skills. Findings – Based on the two sets of data, the study found that a lack of attention has been paid to increasing female entrepreneurs’ opportunities to develop to their full potential in the knowledge economy. Most training programmes fall short in delivering comprehensive digital and strategic skills required for women entrepreneurs’ full participation in a knowledge society. Research limitations/implications: Given the exploratory study approach, researchers are encouraged to adopt and test the proposed framework. Practical implications – The interlinking of business and technology offers unique opportunities for women to engage in entrepreneurship and innovation. For policy makers this analysis provides insights on how to foster female entrepreneurship in the knowledge economy. For educators it provides a teaching and learning framework that encompasses evidence based content, gender-sensitive approaches to business skilling and collaborative learning environments. Originality/Value of chapter – This framework helps lay a foundation for future research on the skilling of heterogeneous women entrepreneurs in the knowledge economy. © 2010 by Emerald Group Publishing Limited.",Knowledge economy; Skilling framework; Women entrepreneurs
"Clemons E.K., Madhani N.",Regulation of digital businesses with natural monopolies or third-party payment business models: Antitrust lessons from the analysis of google,2010,"Some digital business models may be so innovative that they overwhelm existing regulatory mechanisms, both legislation and historical jurisprudence, and require extension to or modification of antitrust law. Regulatory policies that were developed in response to nineteenth-or twentieth-century antitrust concerns dealt principally with economies of scale leading to monopoly power and may not be well suited to the issues of network effects or third-party payer online business models such as sponsored search. From the perspective of information systems economics, we investigate if such third-party payer digital systems require intervention as profound as the government's innovative approach to the problems posed by AT&T in the 1913 Kingsbury Commitment, establishing the first private regulated monopoly. Google provides an example of a company whose innovative digital business model is difficult to fit into current regulatory frameworks, and may provide examples of the issues that might require an extension to regulatory policy. © 2011 M.E. Sharpe, Inc.",antitrust; bundling and tying; contestability; deterred market entry; digital business strategies; essential facilities doctrine; Google; key word auctions; online search; relevant market share; sponsored search
"Stanescu A.M., Ionescu L.M., Georgescu V., Badea L., Moisescu M.A., Sacala I.S.",Toward digital business ecosystem analysis,2010,"This chapter is concerned with a new approach to metamodeling-orientedsynthesis of the complex, non-monolithic, (Internet-distributed system) adaptive system of Systems, targeting the synergetic research issues of Digital Business EcoSystems (DBES).The starting point is focused on an attempt to identify solid scientifical ""roots"" of the DBES.A so-called ""Terra-like reference model"" is provided to introduce the DigitalWorld Theory (trademark Lucian M. Ionescu) that is based on the new key concepts like qubitfocused information flows at the meta and modeling level (UML-oriented platform, ARIS, ADONIS) (http://www.virequest.com).The RomanianVirtual Team (Bucharest-Ro, Craiova-Ro, Springfield, USA) adds some original results with respect to holistic approachfor both conceptual design and synthesis methodology of the DBESystems. The main research directions address the following topics: System of Systems (A.M. Stanescu, M.A. Moisescu, I.S. Sacala), Data Mining and Open-Source-oriented tools (V. Georgescu) and, last but not least, computational biology (L. Badea).The chapter also summarizes some European results that have been providedduring the IST (Information Society Technology) European Commission-funded project like DBES [http://www.digital-ecosystems.org/].Two important messages are to be sent toward the target audience: (1) Taking into consideration the three categories of ""EcoSystems"" (1996) Digital Information and Communication Technologies EcoSystems, Business EcoSystems, Innovation EcoSystems. TheDBES synthesis is a mission to be completed in the next few decades. To live and to work within ""Blue Ocean"" (concept introduced by Dr. Kim) is concerned with both dissemination and successful stories implementation of Collaborative Network Organization for global e-economy supporting e-democracy. (2) A convergent transdisciplinary research effort should be necessary to harmonize among various new scientifical disciplines: microeconomics andmacroeconomics, social networks, e-services sciences computational biology, bioinformatics, a.s.o.Finally, the work-in-progress research is presented and the Living Laboratory/Virtual Team are Ecolead Collaborative Network Organizations. © 2010 by World Scientific Publishing Co. Pte. Ltd. All rights reserved.",Data mining; Digital business eco system; Digital world theory
"Dzopalic D., Zubović J., Bradić-Martinovic A.",Effective implementation of E-CRM strategy [Efektywne wdrażanie strategii E-CRM],2010,"In the era of digital economy customer satisfaction and loyalty are key factors for the establishment of good relations with customers and partners in the supply chain. For customers to be satisfied data protection and privacy are prerequisite for obtaining quality information. Information gathered may be transformed through a system of business intelligence into a complete enterprise resource planning system. This results in creation of integrated business systems. Using the innovative solutions enables integration of customers, partners and suppliers in a virtual network that is oriented to the end users. The challenge for the companies in the future is introducing the concept of electronic customer relationship management - CRM to increase productivity and profits of the company and thus gain a sustainable competitive advantage. Companies are increasingly exploring the market and searching the best ways to meet needs and requirements of their customers. In order to adapt to digital economy and accept new business philosophy many companies will implement modern technology and software solutions like e-CRM to their information systems. © 2010, Czestochowa University of Technology. All rights reserved.",CRM; Integrated business systems; Loyalty; Satisfaction; Software solutions
"Carter R.B., Strader T.J.",Software firm Cost structure and its impact on iPos in the e-commerce era,2010,"The first decade of the e-commerce era saw an increase in activity in the software development industries as new firms were created and existing firms made acquisitions. Many firms pursued a growth strategy and this growth required capital that was often obtained through an initial public offering (IPO) of equity. Software firm cost structures are very different from traditional physical goods firms because their marginal costs are much lower, but what is not known is whether this affects their financing strategies. In this study we compare software firm and traditional firm IPOs using data from 780 IPOs offered during the late dot-com era (1998- 2002) to identify differences in firm and offer characteristics, investment risk, initial returns, and underwriting activity. We find that the characteristics and performance of software firm IPOs are significantly different from IPOs offered by traditional firms during this time period providing supporting for our conclusion that firm cost structure should be considered when analyzing IPOs and other strategic issues. Copyright © 2010, IGI Global.",Capital investments; Digital assets; Digital economy; E-commerce costs; E-commerce investment; Finance; Initial public offering; Organizational risk; Software industry
[No author name available],Business Transformation through Innovation and Knowledge Management: An Academic Perspective - Proceedings of the 14th International Business Information Management Association Conference,2010,"This proceedings contains 85 papers. Knowledge Management and Innovation in Advancing Economies: Analyses & Solutions book is a compilation of research efforts, case studies, and viewpoints of researchers and Technology managers on timely issues and practical solutions related to information technology in modern organizations. This book is a valuable source to advance research in information systems area and to transform organizations in the global business world. The key terms of this proceedings include defect resolution, digital inclusion project, entrepreneurial intentions, enterprise systems education, Development of Visualization Application (VJBK), banking business, communication strategies, knowledge economy, decision-making process, ICT environment.",
"Wenzel S., Boyaci P., Jessen U.","Simulation in production and logistics: Trends, solutions and applications",2010,"By reason of increasing product complexity and diversity of va riants and increasing system and network complexity as well as increasing demands on quality, flexibility, service time, and costs companies need efficient methods and procedure models for planning, redesigning and improving their pro duc tion and logistics systems. The management of logistics networks like supplier, pro duction, distribution, and transportation networks has become an important strategic task due to ongoing globalization of economy, too. Nowadays, simu lation is a well-established model-based analysis method for a lot of appli ca tions in this domain. This paper discusses the trends and solutions in development and research for simulation technology in production and logistics and high lights some current logistics applications. © 2010 Springer-Verlag.",Digital Factory; Logistics; Manufacturing; Production; Simulation
"Majors I., Stale G.",Application of enterprise modeling and knowledge management for educational information technology in SMEs,2010,"Nowadays, an enterprise has to be flexible and adaptable to new market and rapidly changing global economic situations. Moreover, the global economic crisis has added an alarming dimension to this scenario and made the discovery of new solutions extremely urgent. Small and medium enterprises (SMEs) must become learning organizations, so that the whole company can learn while it works and be able to adapt quickly to market changes and other environmental conditions. Ecosystem approach more precisely matches SMEs needs to become and remain competitive in turbulent business environment. Second key issue in new economical situation is effective knowledge management. The knowledge economy demands that organizations integrate their activities, processes and systems to exploit their resources more efficiently and subsequently gain economies of scale and access to and from new market. The aim of this paper is to demonstrate application of enterprise modeling (EM) and knowledge management for educational information technology (IT) in SMEs. Reflected approach provide solution for integration of learning IT in appropriate business situations. © Common Ground, Ivars Majors, Ginta Stale.",Digital ecosystem; Enterprise modeling; Information technology
"Martínez-Torres M.R., Toral S.L., Barrero F., Cortés F.",The role of Internet in the development of future software projects,2010,"Purpose: The Internet has evolved, prompted in part by new Web 2.0 technologies, to become a more widespread platform for interaction, communication, and activism. Virtual communities, or groups of people informally bound together by shared expertise, synthesise this Internet evolution and the Web 2.0 technology. Users increasingly want to engage online with one another and with organisations of all kinds. These novel Internet-based technologies dominate the new business models of the digital economy giving companies radical new ways to harvest the talents of innovators working outside corporate boundaries. One of the most illustrative examples of this new trend is the Open Source Software (OSS) projects development. This paper aims to analyse the structure and topology of the virtual community supporting one of the most successfully OSS projects, Linux. The objective is to provide conclusions for being successful in the development of future virtual communities. As companies learn to manage these virtual communities, they will develop smarter and faster ways to create value through them. Design/methodology/approach: The interactions of the virtual community members of an ARM-embedded Linux project website is analysed through social network analysis techniques. The participants' activity is studied and some conclusions about the participation features are obtained using the Gini coefficient. In particular, a participation inequality behaviour or a concentration on a small number of developers is clearly observed. Findings: The paper deals with the guidelines that virtual communities should follow to be successful. Results about the structure of a successful virtual community and its time evolution are provided to determine the mentioned guidelines. Research limitations/implications: The research is limited to a particular virtual community engaged with the development of the ARM-embedded Linux OSS. Other successful virtual communities can be analysed, and the conclusions could be compared. Anyway, the proposed analysis methodology can be extended to other virtual communities. Originality/value: The paper fulfils the development and features of Internet virtual communities to be successful. Results have important implications over the development of new software business models based on virtual communities and open source software. Contributions about the best organisation of virtual communities leading to a successful development of the underlying project are presented. © Emerald Group Publishing Limited.",Communities; Computer software; Information transfer; Internet; Social networks
Pitarević M.,Digital economy enterpreneurs failures - New chalenge,2009,"""Digital economy""- what is in a fact? Buzzword, fame, synonim for Internet economy or just the new economy. Lots of books had been written, unknown numbers of conferences analized it, experts loosed years of their lifes but only development and best practices show us a direction where it moves. But how to move? And where are we really going? Digital nor non-digital economy could not prevent global crisis of world economy. Maybe digital economy is not a ""mantra? Or maybe it is? IT experts turn ""the water on their mill"". Digital means digitalized, means ICT empowered, means Information technology as main ingredient in ""digital economy cake"". And there is failure! Digital economy means every new, not yet seen, new model, inovation, new markets, total approach, value network, proactive reshaping structure of virtual organization delivering value process. Some of these ideas will be presented in the artical. © 2009 by MIPRO.",
Mutula S.M.,Digital economies: SMEs and e-readiness,2009,"Several studies have been made to determine the effectiveness of information and communication technologies within small business enterprises, but the focus on e-readiness assessments have been very limited. Digital Economies: SMEs and E-Readiness provides valuable insights into the current state of the digital economy and the ability of SMEs to leverage information and communication technologies in overcoming their position in the global business market. This innovative collection provides vital information for developing strategic objectives and frameworks that promote economic growth, infrastructure development, capacity building, and educational training. © 2010 by IGI Global. All rights reserved.",
